product_id,product_type,product_tags,images_array,vendor,inventory_quantity,gross_amount_exc_tax_product,description
4659395625056,Manchette,Bijoux,"[https://cdn.shopify.com/s/files/1/0002/7600/4882/products/manchette-salambo-manchette-hipanema-401369.jpg?v=1598493651,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/manchette-salambo-manchette-hipanema-221925.jpg?v=1598493651,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/manchette-salambo-manchette-hipanema-868279.jpg?v=1598493651,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/manchette-salambo-manchette-hipanema-825948.jpg?v=1598493651,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/manchette-salambo-manchette-hipanema-875185.jpg?v=1598493651,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/manchette-salambo-manchette-hipanema-170625.jpg?v=1598493651,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/manchette-salambo-manchette-hipanema-334414.jpg?v=1598493651]",HIPANEMA,104,1071.0,"  1€ reversé à l’association  Prométhée Humanitaire  par produit vendu.   Bracelet manchette multi chaînes dorées de tailles différentes. Fermoir bijou aimanté. 

 Métal / Verre "
4728524570720,Femme,"Femme, Petit Bateau","[https://cdn.shopify.com/s/files/1/0002/7600/4882/products/maillot-de-bain-1-piece-femme-imprime-marshmallowpersemultico-maillot-petit-bateau-421308.jpg?v=1602166983,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/maillot-de-bain-1-piece-femme-imprime-marshmallowpersemultico-maillot-petit-bateau-784949.jpg?v=1602166983,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/maillot-de-bain-1-piece-femme-imprime-marshmallowpersemultico-maillot-petit-bateau-523111.jpg?v=1602166983,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/maillot-de-bain-1-piece-femme-imprime-marshmallowpersemultico-maillot-petit-bateau-655663.jpg?v=1602166983]",PETIT BATEAU,106,97.5," On aime ce maillot de bain 1 pièce femme et son imprimé all-over exclusif Petit Bateau, dans les tons bleu et blanc. Le haut du maillot se maintient sous la poitrine pour créer un décolleté très féminin et il s'attache derrière le cou. Un maillot de bain femme qui évoque la mer et le ciel à la fois !     La mannequin mesure 175 cm et porte une taille XS.  
 ﻿ "
4709011030112,Robes & Jupes,"Pantalons & Bas, Sœur, 34, 36, 38, 40, 42","[https://cdn.shopify.com/s/files/1/0002/7600/4882/products/jupe-bamboo-b-jupe-soeur-502766.jpg?v=1602135353,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/jupe-bamboo-b-jupe-soeur-327765.jpg?v=1602135353]",SOEUR,151,620.00000000000011," Jupe flanelle. Fabriqué en Roumanie. 

 Composition : 34% Viscose, 33% Polyester, 32% Laine, 1% Elasthane 

 Conseils D'entretien :
 - Le lavage à la main est à privilégier pour l'entretien de vos pièces
 - Le lavage en machine avec un programme délicat est possible si l'étiquette d'entretien vous l'indique. "
4164294475872,Maillots,"<20€, Maillots","[https://cdn.shopify.com/s/files/1/0002/7600/4882/products/triangle-do-you-sein-tropez-maillots-naia-441884.jpg?v=1598486506,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/triangle-do-you-sein-tropez-maillots-naia-896226.jpg?v=1598486506,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/triangle-do-you-sein-tropez-maillots-naia-444973.jpg?v=1598486506,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/triangle-do-you-sein-tropez-maillots-naia-667607.jpg?v=1598486506]",NAIA,32,20.0,"   Style :    Triangle turquoise et doré avec coques amovibles (fournies), entièrement doublé. Et pour une qualité sans faille, fermoir à clic en Zamak or.  Avec ses bretelles tressées à nouer dans le cou, ce modèle vous embarque illico sous le soleil de Saint-Tropez.  Ptit conseil, prenez votre taille habituelle !       Notre ptit secret :     Sur la plage abandonnée, Coquillages et Crustacés  Nous, on préfère la version Coquillages et Décolletés, pour un parfait farnienté !       Une création exclusive de Ma Ptite Culotte :) "
15307294900603,Chaussures,"PMTHEBRADERYDEC25, sync_fastmag, synchro_fastmag, 20H, COULEUR_PINK, COULEUR_RED, FM-CLAUDETTE_CRO_20H-CHERRY, NOERESA","[https://cdn.shopify.com/s/files/1/0002/7600/4882/files/20h_claudette_cherry-cherry-3.jpg?v=1764838895,https://cdn.shopify.com/s/files/1/0002/7600/4882/files/20h_claudette_cherry-cherry-1.jpg?v=1764838896,https://cdn.shopify.com/s/files/1/0002/7600/4882/files/20h_claudette_cherry-cherry-b.jpg?v=1764838896,https://cdn.shopify.com/s/files/1/0002/7600/4882/files/20h_claudette_cherry-cherry-a.jpg?v=1764838896]",PETITE MENDIGOTE,600000,0.0," Claudette c'est la bottine must-have à avoir dans son dressing ! On aime sa ligne si simple qui la rend ultra élégante ! Son talon de 6,5 cm est la hauteur parfaite pour tous les jours. Les CLAUDETTE sont ajustées. Pour plus de confort, si vous les portez avec des chaussettes plus épaisses vous pouvez choisir une pointure au dessus . "
15099194737019,Jeans,">100€, Gestuz, GESTUZ0625, Jeans, no-search","[https://cdn.shopify.com/s/files/1/0002/7600/4882/files/GZ_RERUN_10904264_100017_200.jpg?v=1749563637,https://cdn.shopify.com/s/files/1/0002/7600/4882/files/GZ_RERUN_10904264_100017_500.jpg?v=1749563629,https://cdn.shopify.com/s/files/1/0002/7600/4882/files/GZ_RERUN_10904264_100017_300.jpg?v=1749563645,https://cdn.shopify.com/s/files/1/0002/7600/4882/files/GZ_RERUN_10904264_100017_350.jpg?v=1749563641,https://cdn.shopify.com/s/files/1/0002/7600/4882/files/GZ_RERUN_10904264_100017_100.jpg?v=1749563634]",GESTUZ,76,0.0,"  Composition :  87% Cotton (Organic),13% Recycled Cotton "
6618507182176,T-shirts & Polos,"Collection : Maison Labiche, dropshipping, eligibility, Homme, L, M, Maison Labiche, S, T-shirts & Polos, target2sell:2022-07-24 07:45:00, Type : T-shirts & Polos, XL, XS, XXL","[https://cdn.shopify.com/s/files/1/0002/7600/4882/products/getImage_ed3bcffe-3bb6-4f89-bd3f-90197934636f.jpg?v=1658154600,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/PhotoProduit_adff3ea3-c57d-4aaf-9f27-86e714073242.jpg?v=1658154600,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/PhotoProduit_ec535091-eb1c-4520-b066-bbb4181ce1cb.jpg?v=1658154600,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/getImage_463028eb-73b5-4856-9cf5-8db48ad57ea3.jpg?v=1658154600,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/getImage_35d56c55-3c13-4359-8b1d-a3b74e1ffe9a.jpg?v=1658154600,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/PhotoProduit_95b3f657-0a9d-44f7-84d4-32c7073ba904.jpg?v=1658154600,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/getImage_63785fc4-e0ac-48ce-98c7-06539882d6ae.jpg?v=1658154600,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/PhotoProduit_75d089df-ae56-445e-9e1e-498fb91854aa.jpg?v=1658154600,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/PhotoProduit_b3f171e7-e1d5-4613-98b7-49702fdee351.jpg?v=1658154600]",MAISON LABICHE,9000,65.002754820936644,"- Notre écusson brodé signature   - Jersey 100 % coton biologique   - Certifié GOTS : Les fibres sont 100 % certifiées biologiques. Certification délivrée par Ecocert Greenlife (207286). MAISON LABICHE   - Coupe droite légèrement cintrée   - Encolure en maille côtelée   - Manches retroussées   - Fabriqué au Portugal     Victor mesure 1m81 et porte une taille M    Conseils d'entretiens : Lavage délicat en machine, 30°
Laver avec coloris similaires
Ne pas sécher en tambour
Repasser à la température indiquée"
6571711103072,Chemises Et Tops,"<20€, Chemises Et Tops, L, M, Mango, mangotaille, S, XS","[https://cdn.shopify.com/s/files/1/0002/7600/4882/products/t-shirt-ivette-blanc-chemises-et-tops-mango-743999.jpg?v=1631119319,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/t-shirt-ivette-blanc-chemises-et-tops-mango-165936.jpg?v=1631117688,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/t-shirt-ivette-blanc-chemises-et-tops-mango-923732.jpg?v=1631123864,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/t-shirt-ivette-blanc-chemises-et-tops-mango-632226.jpg?v=1631120422,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/t-shirt-ivette-blanc-chemises-et-tops-mango-437638.jpg?v=1631117127,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/t-shirt-ivette-blanc-chemises-et-tops-mango-973481.jpg?v=1631125166,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/t-shirt-ivette-blanc-chemises-et-tops-mango-240913.jpg?v=1631123965,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/t-shirt-ivette-blanc-chemises-et-tops-mango-371150.jpg?v=1631124272]",MANGO,61,750.03733135551306,"   T-shirt coton manches longues. 100 % coton bio, Col rond, Épaulettes, Manches longues   Composition :  100% Coton Organique    Conseils d'entretien :  Laver En Machine Max. 30°C, Ne Pas Utiliser D'Eau De Javel, Repasser Max.110°C, Nettoyage A Sec Perchloroethylene, Pas De Séchage En Machine   Dimensions Produit :  36,4cm x 56,5cm "
6571733942368,Mailles Et Sweats,"L, M, Mailles Et Sweats, Mango, mangotaille, S, XL, XS","[https://cdn.shopify.com/s/files/1/0002/7600/4882/products/pull-pompa-ecru-mailles-et-sweats-mango-417149.jpg?v=1631120414,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/pull-pompa-ecru-mailles-et-sweats-mango-120601.jpg?v=1631126121,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/pull-pompa-ecru-mailles-et-sweats-mango-831604.jpg?v=1631112743,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/pull-pompa-ecru-mailles-et-sweats-mango-255022.jpg?v=1631116753,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/pull-pompa-ecru-mailles-et-sweats-mango-370961.jpg?v=1631112185,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/pull-pompa-ecru-mailles-et-sweats-mango-571674.jpg?v=1631131140,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/pull-pompa-ecru-mailles-et-sweats-mango-384032.jpg?v=1631119111,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/pull-pompa-ecru-mailles-et-sweats-mango-791416.jpg?v=1631120507]",MANGO,37,1099.8457300275481,"   Pull-over nS_x0001_ud dos. Tissu en maille, Maille torsadée, Coupe large, Col rond, Manches longues, Bords côtelés, Lien à nouer au dos   Composition :  79% Acrylique, 21% Polyester    Conseils d'entretien :  Ne Pas Utiliser D'Eau De Javel, Repasser Max.110°C, Ne Pas Laver A Sec, Pas De Séchage En Machine, Laver A La Main Max. 30°C   Dimensions Produit :  30cm "
6609300881504,Bain,"36, 38, 40, 42, <20€, Bain, Collection : Sowe Biarritz, dropshipping, Sowe Biarritz, target2sell:2022-05-21, Type : Bain","[https://cdn.shopify.com/s/files/1/0002/7600/4882/products/1984.jpg?v=1652884244,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/1976.jpg?v=1652884244,https://cdn.shopify.com/s/files/1/0002/7600/4882/products/1980.jpg?v=1652884244]",SOWE BIARRITZ,200000,15.0," Maillot de bain bandeau Bonnie Shiny rose, édition limitée Sunset Fever 
 Sa matière légèrement irisée et son anneau en écaille claire donne le ton : sexy lady en Bonnie ! Rembourrages et lien à nouer dans le cou amovibles, doublure, tout est la pour faire chavirer votre coeur. 
    Le petit +::   les  mousses sont amovibles.  
   Conseil taille :  Ce modèle taille normalement. 
  Composition :  80% polyamide - 20% elasthane 
  Entretien :  Lavage à la main ou en machine en cycle délicat 30% maximum. "
